id,created,uuid,parent_uuid,event,task_action,failed,changed,playbook,play,task,role,job_id,host_id,host_name
1,2020-03-20 23:10:52.767582+00,a1d45eba-2a94-459e-bf7f-a2f0d0b4fa48,"",verbose,,f,f,"","","","",4,,""
2,2020-03-20 23:10:53.663297+00,f1ba648f-2f44-481e-a6f6-0f2c4704b351,0242ac12-0005-e261-6aaa-000000000012,runner_on_start,"""gather_facts""",f,f,epel.yml,use galaxy epel role,Gathering Facts,"",4,2,host0320a
3,2020-03-20 23:10:53.6417+00,574f9ae3-3a64-43a0-a7d8-7b7040116112,"",playbook_on_start,,f,f,epel.yml,"","","",4,,""
4,2020-03-20 23:10:53.660978+00,0242ac12-0005-e261-6aaa-000000000012,0242ac12-0005-e261-6aaa-000000000007,playbook_on_task_start,"""gather_facts""",f,f,epel.yml,use galaxy epel role,Gathering Facts,"",4,,""
5,2020-03-20 23:10:53.644137+00,0242ac12-0005-e261-6aaa-000000000007,574f9ae3-3a64-43a0-a7d8-7b7040116112,playbook_on_play_start,,f,f,epel.yml,use galaxy epel role,"","",4,,""
6,2020-03-20 23:10:53.673326+00,422b6c8f-3fd4-48f2-8864-fad28329dfcb,0242ac12-0005-e261-6aaa-000000000012,runner_on_start,"""gather_facts""",f,f,epel.yml,use galaxy epel role,Gathering Facts,"",4,1,host0320b
7,2020-03-20 23:10:55.804512+00,20472175-f3f7-434e-a7ca-efecb9b2308d,0242ac12-0005-e261-6aaa-000000000012,runner_on_ok,"""gather_facts""",f,f,epel.yml,use galaxy epel role,Gathering Facts,"",4,1,host0320b
8,2020-03-20 23:11:34.414272+00,f1391c4e-738f-4593-b6a2-320018e639f5,0242ac12-0005-e261-6aaa-000000000012,runner_on_ok,"""gather_facts""",f,f,epel.yml,use galaxy epel role,Gathering Facts,"",4,2,host0320a
9,2020-03-20 23:11:34.460437+00,74c836f0-f21a-4d4f-b320-e488a3de814f,0242ac12-0005-e261-6aaa-00000000000c,runner_on_start,"""stat""",f,f,epel.yml,use galaxy epel role,Check if EPEL repo is already configured.,geerlingguy.repo-epel,4,2,host0320a
10,2020-03-20 23:11:34.45456+00,0242ac12-0005-e261-6aaa-00000000000c,0242ac12-0005-e261-6aaa-000000000007,playbook_on_task_start,"""stat""",f,f,epel.yml,use galaxy epel role,Check if EPEL repo is already configured.,geerlingguy.repo-epel,4,,""
11,2020-03-20 23:11:34.509792+00,0ed7d2bd-2538-4d87-836e-012fba3f2db8,0242ac12-0005-e261-6aaa-00000000000c,runner_on_start,"""stat""",f,f,epel.yml,use galaxy epel role,Check if EPEL repo is already configured.,geerlingguy.repo-epel,4,1,host0320b
12,2020-03-20 23:11:35.715675+00,6da71dc6-ee32-43f8-9b0f-5cf6660f0804,0242ac12-0005-e261-6aaa-00000000000c,runner_on_ok,"""stat""",f,f,epel.yml,use galaxy epel role,Check if EPEL repo is already configured.,geerlingguy.repo-epel,4,1,host0320b
13,2020-03-20 23:11:57.644336+00,8e15cf13-c322-489f-965c-15d744365227,0242ac12-0005-e261-6aaa-00000000000d,runner_on_start,"""yum""",f,f,epel.yml,use galaxy epel role,Install EPEL repo.,geerlingguy.repo-epel,4,2,host0320a
14,2020-03-20 23:11:57.618217+00,cba34216-51c4-420a-9abd-b0ae1b3f35d1,0242ac12-0005-e261-6aaa-00000000000c,runner_on_ok,"""stat""",f,f,epel.yml,use galaxy epel role,Check if EPEL repo is already configured.,geerlingguy.repo-epel,4,2,host0320a
15,2020-03-20 23:11:57.643357+00,0242ac12-0005-e261-6aaa-00000000000d,0242ac12-0005-e261-6aaa-000000000007,playbook_on_task_start,"""yum""",f,t,epel.yml,use galaxy epel role,Install EPEL repo.,geerlingguy.repo-epel,4,,""
16,2020-03-20 23:11:57.689441+00,35a67d00-dc2d-4fae-8fc2-fc8430cf8755,0242ac12-0005-e261-6aaa-00000000000d,runner_on_start,"""yum""",f,f,epel.yml,use galaxy epel role,Install EPEL repo.,geerlingguy.repo-epel,4,1,host0320b
17,2020-03-20 23:11:58.182627+00,3bad1d53-0426-4853-866a-897f17337a49,0242ac12-0005-e261-6aaa-00000000000d,runner_on_skipped,"""yum""",f,f,epel.yml,use galaxy epel role,Install EPEL repo.,geerlingguy.repo-epel,4,2,host0320a
18,2020-03-20 23:12:02.090377+00,c4918ba9-812f-4a94-9f34-ece2e17ec7a8,0242ac12-0005-e261-6aaa-00000000000e,runner_on_start,"""rpm_key""",f,f,epel.yml,use galaxy epel role,Import EPEL GPG key.,geerlingguy.repo-epel,4,2,host0320a
19,2020-03-20 23:12:02.048692+00,bed378ce-4210-4c8c-ac11-0f72d4cc650a,0242ac12-0005-e261-6aaa-00000000000d,runner_on_ok,"""yum""",f,t,epel.yml,use galaxy epel role,Install EPEL repo.,geerlingguy.repo-epel,4,1,host0320b
20,2020-03-20 23:12:02.084367+00,0242ac12-0005-e261-6aaa-00000000000e,0242ac12-0005-e261-6aaa-000000000007,playbook_on_task_start,"""rpm_key""",f,t,epel.yml,use galaxy epel role,Import EPEL GPG key.,geerlingguy.repo-epel,4,,""
21,2020-03-20 23:12:02.134199+00,bd8a688b-a76b-4ca1-a572-a39c9ce0437e,0242ac12-0005-e261-6aaa-00000000000e,runner_on_start,"""rpm_key""",f,f,epel.yml,use galaxy epel role,Import EPEL GPG key.,geerlingguy.repo-epel,4,1,host0320b
22,2020-03-20 23:12:02.580963+00,495a09fc-d2cd-4363-8e7d-e574d431a11b,0242ac12-0005-e261-6aaa-00000000000e,runner_on_skipped,"""rpm_key""",f,f,epel.yml,use galaxy epel role,Import EPEL GPG key.,geerlingguy.repo-epel,4,2,host0320a
23,2020-03-20 23:12:03.43726+00,8462758d-9b6f-499f-8e66-6dcf36b53b3a,0242ac12-0005-e261-6aaa-00000000000e,runner_on_ok,"""rpm_key""",f,t,epel.yml,use galaxy epel role,Import EPEL GPG key.,geerlingguy.repo-epel,4,1,host0320b
24,2020-03-20 23:12:03.440965+00,403fea46-7a43-451f-9c1f-aa93d86f881c,574f9ae3-3a64-43a0-a7d8-7b7040116112,playbook_on_stats,,f,t,epel.yml,"","","",4,,""
25,2020-03-20 23:12:15.248705+00,2023d236-f91f-4569-9044-27a67685a23e,"",verbose,,f,f,"","","","",6,,""
26,2020-03-20 23:12:16.076915+00,0242ac12-0005-0740-7180-000000000021,0242ac12-0005-0740-7180-000000000007,playbook_on_task_start,"""gather_facts""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Gathering Facts,"",6,,""
27,2020-03-20 23:12:16.05251+00,09039d8b-8a41-4911-b4d0-3aa56d531ca6,"",playbook_on_start,,f,f,centos_security_updates.yml,"","","",6,,""
28,2020-03-20 23:12:16.077653+00,5236f404-a77e-45b3-bd01-4da147132282,0242ac12-0005-0740-7180-000000000021,runner_on_start,"""gather_facts""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Gathering Facts,"",6,2,host0320a
29,2020-03-20 23:12:16.057076+00,0242ac12-0005-0740-7180-000000000007,09039d8b-8a41-4911-b4d0-3aa56d531ca6,playbook_on_play_start,,f,f,centos_security_updates.yml,use galaxy centos_security_updates role,"","",6,,""
30,2020-03-20 23:12:16.10516+00,636a9c21-9d72-410e-af51-080d9f24ffb7,0242ac12-0005-0740-7180-000000000021,runner_on_start,"""gather_facts""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Gathering Facts,"",6,1,host0320b
31,2020-03-20 23:12:18.202252+00,025fb752-6bce-4384-8b2d-17688449f95c,0242ac12-0005-0740-7180-000000000021,runner_on_ok,"""gather_facts""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Gathering Facts,"",6,1,host0320b
32,2020-03-20 23:12:53.477018+00,f4484f91-6eb0-4fea-ba2f-1d51902f2ae2,0242ac12-0005-0740-7180-00000000000f,runner_on_start,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,6,2,host0320a
33,2020-03-20 23:12:53.475906+00,0242ac12-0005-0740-7180-00000000000f,0242ac12-0005-0740-7180-000000000007,playbook_on_task_start,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,6,,""
34,2020-03-20 23:12:53.446904+00,28c067b9-9140-4cd1-8d71-a07b5ed37635,0242ac12-0005-0740-7180-000000000021,runner_on_ok,"""gather_facts""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Gathering Facts,"",6,2,host0320a
35,2020-03-20 23:12:53.502579+00,f25bd4b0-e2aa-4842-aa45-9ef85f240715,0242ac12-0005-0740-7180-00000000000f,runner_on_start,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,6,1,host0320b
36,2020-03-20 23:12:54.037633+00,124b5af6-230c-4c1a-b5b9-9ef9e059992d,0242ac12-0005-0740-7180-00000000000f,runner_on_ok,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,6,2,host0320a
37,2020-03-20 23:12:54.068965+00,221e2632-f06b-4a9e-a941-aa4f69a38c53,0242ac12-0005-0740-7180-000000000010,runner_on_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,6,2,host0320a
38,2020-03-20 23:12:54.067662+00,0242ac12-0005-0740-7180-000000000010,0242ac12-0005-0740-7180-000000000007,playbook_on_task_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,6,,""
39,2020-03-20 23:12:54.046548+00,e97f8e48-cc46-46ba-8288-b4f9af474b0e,0242ac12-0005-0740-7180-00000000000f,runner_on_ok,"""include_vars""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,Include OS-specific variables.,geerlingguy.security,6,1,host0320b
40,2020-03-20 23:12:54.112366+00,2e553f50-457b-43a2-b000-15e6e80a61b2,0242ac12-0005-0740-7180-000000000010,runner_on_start,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,6,1,host0320b
41,2020-03-20 23:12:54.638485+00,46d83eeb-e8b9-49b3-97d4-a7635c1b2e6e,0242ac12-0005-0740-7180-000000000010,runner_on_ok,"""include_tasks""",f,f,centos_security_updates.yml,use galaxy centos_security_updates role,include_tasks,geerlingguy.security,6,2,host0320a
