system_id,id,created,uuid,parent_uuid,event,task_action,failed,changed,playbook,play,task,role,job_id,host_id,host_name,cluster_id
1,1,2020-03-20 23:10:52.767582,a1d45eba-2a94-459e-bf7f-a2f0d0b4fa48,"",verbose,,f,f,,,,,4,,,1
1,2,2020-03-20 23:10:53.663297,f1ba648f-2f44-481e-a6f6-0f2c4704b351,0242ac12-0005-e261-6aaa-000000000012,runner_on_start,1,f,f,5,5,64,,4,2,3,1
1,3,2020-03-20 23:10:53.6417,574f9ae3-3a64-43a0-a7d8-7b7040116112,"",playbook_on_start,,f,f,5,,,,4,,,1
1,4,2020-03-20 23:10:53.660978,0242ac12-0005-e261-6aaa-000000000012,0242ac12-0005-e261-6aaa-000000000007,playbook_on_task_start,1,f,f,5,5,64,,4,,,1
1,5,2020-03-20 23:10:53.644137,0242ac12-0005-e261-6aaa-000000000007,574f9ae3-3a64-43a0-a7d8-7b7040116112,playbook_on_play_start,,f,f,5,5,,,4,,,1
1,6,2020-03-20 23:10:53.673326,422b6c8f-3fd4-48f2-8864-fad28329dfcb,0242ac12-0005-e261-6aaa-000000000012,runner_on_start,1,f,f,5,5,64,,4,1,6,1
1,7,2020-03-20 23:10:55.804512,20472175-f3f7-434e-a7ca-efecb9b2308d,0242ac12-0005-e261-6aaa-000000000012,runner_on_ok,1,f,f,5,5,64,,4,1,6,1
1,8,2020-03-20 23:11:34.414272,f1391c4e-738f-4593-b6a2-320018e639f5,0242ac12-0005-e261-6aaa-000000000012,runner_on_ok,1,f,f,5,5,64,,4,2,3,1
1,9,2020-03-20 23:11:34.460437,74c836f0-f21a-4d4f-b320-e488a3de814f,0242ac12-0005-e261-6aaa-00000000000c,runner_on_start,8,f,f,5,5,80,5,4,2,3,1
1,10,2020-03-20 23:11:34.45456,0242ac12-0005-e261-6aaa-00000000000c,0242ac12-0005-e261-6aaa-000000000007,playbook_on_task_start,8,f,f,5,5,80,5,4,,,1
1,11,2020-03-20 23:11:34.509792,0ed7d2bd-2538-4d87-836e-012fba3f2db8,0242ac12-0005-e261-6aaa-00000000000c,runner_on_start,8,f,f,5,5,80,5,4,1,6,1
1,12,2020-03-20 23:11:35.715675,6da71dc6-ee32-43f8-9b0f-5cf6660f0804,0242ac12-0005-e261-6aaa-00000000000c,runner_on_ok,8,f,f,5,5,80,5,4,1,6,1
