system_id,id,polymorphic_ctype_id,model,created,name,unified_job_template_id,launch_type,schedule_id,execution_node,controller_node,cancel_flag,status,failed,started,finished,elapsed,job_explanation,instance_group_id,org_id,org_name,cluster_id
1,4,37,job,2020-03-20 23:10:24.532454+00,1,9,workflow,,1,,f,successful,f,2020-03-20 23:10:44.879352+00,2020-03-20 23:12:03.789814+00,78.910,"",1,1,1,1
1,6,37,job,2020-03-20 23:12:04.195163+00,3,10,workflow,,1,,f,failed,t,2020-03-20 23:12:04.733137+00,2020-03-20 23:14:07.390809+00,122.658,"",1,1,1,1
1,9,37,job,2020-03-20 23:15:48.699181+00,1,9,workflow,,1,,f,successful,f,2020-03-20 23:16:02.06756+00,2020-03-20 23:17:25.242693+00,83.175,"",1,1,1,1
1,12,37,job,2020-03-20 23:17:25.636133+00,3,10,workflow,,1,,f,failed,t,2020-03-20 23:17:26.154037+00,2020-03-20 23:19:23.26307+00,117.109,"",1,1,1,1
1,14,37,job,2020-03-20 23:19:33.334747+00,1,9,workflow,,1,,f,successful,f,2020-03-20 23:19:34.205859+00,2020-03-20 23:20:44.015099+00,69.809,"",1,1,1,1
1,16,37,job,2020-03-20 23:20:44.488673+00,3,10,workflow,,1,,f,failed,t,2020-03-20 23:20:54.438108+00,2020-03-20 23:22:49.5671+00,115.129,"",1,1,1,1
1,20,37,job,2020-03-20 23:31:20.58984+00,1,9,workflow,,1,,f,successful,f,2020-03-20 23:31:40.856992+00,2020-03-20 23:32:16.293149+00,35.436,"",1,1,1,1
1,22,37,job,2020-03-20 23:32:16.685239+00,4,12,workflow,,1,,f,failed,t,2020-03-20 23:32:21.484195+00,2020-03-20 23:33:49.803575+00,88.319,"",1,1,1,1
1,25,37,job,2020-03-20 23:38:45.218858+00,1,9,workflow,,1,,f,successful,f,2020-03-20 23:38:45.746415+00,2020-03-20 23:39:01.36241+00,15.616,"",1,1,1,1
1,27,37,job,2020-03-20 23:39:01.756586+00,4,12,workflow,,1,,f,failed,t,2020-03-20 23:39:02.848391+00,2020-03-20 23:39:30.506587+00,27.658,"",1,1,1,1
1,31,37,job,2020-03-20 23:42:37.914748+00,1,9,workflow,,1,,f,successful,f,2020-03-20 23:42:38.518927+00,2020-03-20 23:42:51.997044+00,13.478,"",1,1,1,1
1,33,37,job,2020-03-20 23:42:52.346304+00,5,15,workflow,,1,,f,failed,t,2020-03-20 23:42:52.867018+00,2020-03-20 23:44:09.147717+00,76.281,"",1,1,1,1
1,37,37,job,2020-03-20 23:49:11.679096+00,1,9,workflow,,1,,f,successful,f,2020-03-20 23:49:12.639992+00,2020-03-20 23:49:27.406451+00,14.766,"",1,1,1,1
1,39,37,job,2020-03-20 23:49:27.805326+00,2,18,workflow,,1,,f,successful,f,2020-03-20 23:49:34.833759+00,2020-03-20 23:49:59.886999+00,25.053,"",1,1,1,1
1,42,37,job,2020-03-20 23:53:55.317228+00,1,9,workflow,,1,,f,successful,f,2020-03-20 23:53:57.623954+00,2020-03-20 23:54:11.840595+00,14.217,"",1,1,1,1
1,44,37,job,2020-03-20 23:54:12.22492+00,2,18,workflow,,1,,f,successful,f,2020-03-20 23:54:17.861989+00,2020-03-20 23:54:41.832782+00,23.971,"",1,1,1,1
1,47,37,job,2020-03-20 23:55:31.989294+00,1,9,workflow,,1,,f,successful,f,2020-03-20 23:55:32.727621+00,2020-03-20 23:55:47.592047+00,14.864,"",1,1,1,1
1,49,37,job,2020-03-20 23:55:48.158179+00,2,18,workflow,,1,,f,successful,f,2020-03-20 23:55:49.209675+00,2020-03-20 23:56:06.492004+00,17.282,"",1,1,1,1
1,52,37,job,2020-03-20 23:56:24.74927+00,1,9,workflow,,1,,f,successful,f,2020-03-20 23:56:40.241096+00,2020-03-20 23:56:56.335039+00,16.094,"",1,1,1,1
